Linha;Vista;Empresa
1;PRAÇA GENERAL OSÓRIO X PRAÇA MAUÁ (CIRCULAR);POOL: Real - Recreio - Normandy - Consórcio Intersul
6;SILVESTRE X CASTELO (CIRCULAR);Transurb
SE006;SE-SILVESTRE X CASTELO(CIRCULAR);Transurb
SN006;SN - CASTELO X SANTA TERESA (CIRCULAR);Transurb
7;SILVESTRE X CENTRAL (CIRCULAR);POOL: Transurb - Transurb
LECD7;LECD7- RECREIO X CARIOCA;POOL: Recreio - Redentor
LECD09;JARDIM PALMARES X SANTA CRUZ (CIRCULAR);Palmares
10;FATIMA X CENTRAL (CIRCULAR);POOL: Transurb - Transurb
LECD10;CURICICA(PROJAC) X RIOSUL(V.BARRA DA TIJUCA)CIRC.;Redentor
11;RODOVIARIA X CASTELO (CIRCULAR);Transurb
LECD13;FREGUESIA X JOATINGA (V. RIO DAS PEDRAS)CIRCULAR;Barra
14;PAULA MATOS X CASTELO (CIRCULAR);Transurb
SE014;SE - PAULA MATOS X CASTELO(CIRCULAR);Transurb
LECD14;PINGO D`AGUA X PACIENCIA(V.EST.31 DE OUTUBRO)CIRC;Jabour
LECD16;RIO DAS PEDRASXILHA PURA(V.AV.ABELARDO BUENO)CIRC.;Redentor
LECD17;MARAMBAIA X CASTELO(V.BARRA DA TIJUCA/COPACABANA);Recreio
LECD19;SEPETIBA X CARIOCA (VIA T. PREF. MARCELLO ALENCAR);Recreio
LECD20;SEPETIBA X BANGU;Consórcio Santa Cruz
LECD21;LECD21 - RIO COMPRIDO X LARGO DO MACHADO (VIA LAPA/CATETE)CIRCULAR;Alpha
LECD22;LECD22- CIDADE DE DEUS X CANDELÁRIA (VIA AV. MENEZES CORTES);Litoral Rio
LECD23;LECD23 - FREGUESIA X MADUREIRA (VIA CASCADURA) CIRCULAR;Futuro
LECD24;LECD24 - CASACADURA X JARDIM OCEÂNICO (VIA LINHA AMARELA/FREGUESIA/RIO DAS PEDRAS);Futuro
100;TRONCAL 1 - GAL. OSÓRIO X CENTRAL(VIA N.S.COPACABANA/ATERRO DO FLAMENGO);POOL: Real - Graças
TR0NCAL 01;;
101;TRONCAL 10-JD.DE ALAH X CRUZ VERMELHA(VIA J.BOTANICO/LAPA);POOL: São Silvestre - Consórcio Intersul - Braso Lisboa - Consórcio Intersul - Graças
TR0NCAL 1;;
102;TRONCAL 2 - JD. DE ALAH X RODOVIARIA (VIA LAPA);POOL: São Silvestre - Estrela Azul - Vila Isabel - Braso Lisboa
TR0NCAL 02;;
104;TRONCAL 4 - SÃO CONRADO X RODOVIÁRIA (V.AV.N.S.COPACABANA/CATETE/AV. F. BICALHO);POOL: Real - Gire
TR0NCAL 04;;
105;TRONCAL 5-ALTO GAVEAXCENTRAL(V.BOTAFOGO/P.FLAMENGO/P.DE MARÇO);POOL: Transurb - Transurb - Real - Real
TR0NCAL 05;;
106;TRONCAL 3 - CENTRALXLEBLON(V.ATERRO/AV.N.S.COPACABANA)CIRCULAR;POOL: Real - Graças - Alpha
TR0NCAL 03;;
107;CENTRAL X URCA (CIRCULAR);Gire
108;TRONCAL 6 - JARDIM DE ALAH X RODOVIARIA(VIA TÚNEL VELHO/TÚNEL SANTA BÁRBARA);POOL: Real - São Silvestre
TR0NCAL 06;;
109;TRONCAL 9 - S. CONRADO X CENTRAL(V.J.BOTANICO/T.STA.BARBARA);POOL: Real - Real
TR0NCAL 09;;
110;RODOVIARIA X JD.DE ALAH (VIA T.REBOUCAS) CIRCULAR;Real
111;CENTRAL X JD.DE ALAH(V.ELEVADO/T.REBOUCAS)CIRCULAR;POOL: Real - Real
112;RODOVIARIA X ALTO DA GAVEA(V.T.REBOUCAS)CIRCULAR;POOL: Alpha - Alpha - Real
117;TRONCAL 7 - CENTRAL X COSME VELHO(VIA T. SANTA BARBARA);POOL: São Silvestre - Transurb - Alpha
TR0NCAL 07;;
118;TRONCAL 8 - COSME VELHO X RODOVIARIA(VIA PÇA. MAUA);POOL: São Silvestre - Estrela Azul - Transurb - Estrela Azul
TR0NCAL 08;;
133;LARGO DO MACHADO X RODOVIARIA (VIA ESTACIO);São Silvestre
181;RODOVIARIA X SAO CONRADO (VIA LINHA AMARELA) CIRCULAR;Real
201;SANTA ALEXANDRINA X CASTELO (VIA LAPA)CIRCULAR;Alpha
202;RIO COMPRIDO X CASTELO (CIRCULAR);Alpha
209;ESTACIO X CAJU (VIA SAO CRISTOVAO) - CIRCULAR;POOL: Braso Lisboa - Braso Lisboa
210;CAJU X CANDELÁRIA (CIRCULAR);POOL: Braso Lisboa - Braso Lisboa
213;MUDA X CANDELÁRIA (CIRCULAR);POOL: Alpha - Alpha
217;ANDARAI X CARIOCA (CIRCULAR);Graças
218;VILA ISABEL X CANDELARIA(CIRCULAR);POOL: Vila Isabel - Vila Isabel - Vila Isabel
220;USINA X CANDELARIA (VIA HADDOCK LOBO)-CIRCULAR;POOL: Tijuca - Tijuca
222;VILA ISABEL X PCA.MAUA(V.HOSP. DOS SERVIDORES)CIRC;Vila Isabel
226;GRAJAU X CARIOCA (CIRCULAR);Tijuca
229;USINA X CASTELO (CIRCULAR);POOL: Tijuca - Tijuca
232;LINS X CASTELO (VIA RUA AQUIDABA)CIRCULAR;Matias
SE232;SE - LINS X LEME(CIRCULAR);Matias
SV232;SV - LINS XCASTELO(CIRCULAR);Matias
SPA232;SPA - ENGENHO NOVO X CASTELO(CIRCULAR);Matias
SPB232;SPB - LINS X CASTELO(CIRCULAR);Matias
238;AGUA SANTA X CASTELO (CIRCULAR);POOL: Viacao Verdun S/A - Viacao Verdun S/A - Viacao Verdun S/A
239;AGUA SANTA X CASTELO (VIA 24 DE MAIO) CIRCULAR;POOL: Viacao Verdun S/A - Viacao Verdun S/A - Viacao Verdun S/A
247;CAMARISTA MEIER X PASSEIO (CIRCULAR);POOL: Viacao Verdun S/A - Viacao Verdun S/A - Viacao Verdun S/A
SP247;SP - CAMARISTA MEIER X CANDELÁRIA(CIRCULAR);Viacao Verdun S/A
249;AGUA SANTA X CARIOCA (CIRCULAR);POOL: Matias - Matias
SV249;SV-AGUA SANTAXCARIOCA(CIRCULAR);Matias
SP249;SP - AGUA SANTA X CANDELARIA (CIRCULAR);Matias
254;MADUREIRA X CANDELÁRIA;Acari
SP254;SP - PRACA AVAI XCANDELÁRIA;Acari
265;MARECHAL HERMES X CASTELO (CIRCULAR);POOL: Pavunense - Estrela - Novacap - Caprichosa - Três Amigos
SV265;SV - MARECHAL HERMES X CASTELO (VIA PARQUE MADUREIRA)CIRCULAR;POOL: Pavunense - Estrela - Novacap - Caprichosa - Três Amigos
275;MEIER X CANDELÁRIA (CIRCULAR);Braso Lisboa
277;ROCHA MIRANDA X CANDELÁRIA (V.SAO CRISTOVAO) CIRCULAR;Acari
284;OLARIA X CANDELARIA (CIRCULAR);POOL: VG - VG
292;ENGENHO DA RAINHA X CASTELO(CIRCULAR);POOL: Estrela Azul - Estrela Azul - Estrela Azul
SP292;SP - ENGENHO DA RAINHA X CANDELARIA(CIRCULAR);Estrela Azul
296;IRAJA X CASTELO;Pavunense
298;ACARI X CASTELO;Pavunense
SPA298;SPA - CAVALCANTI X CASTELO;Pavunense
SPB298;SPB - CONJUNTO DOS CORREIOS X CASTELO;Pavunense
SPC298;SPC - TURIACU X CASTELO;Pavunense
300;SULACAP X CANDELARIA;Vila Real
SR300;SR -SULACAP X CANDELARIA;Vila Real
SV300;SV - SULACAP X CANDELARIA(V.ESTRADA DO FONTINHA);Vila Real
SN300;SN - SULACAP X CANDELARIA;Vila Real
301;RODOVIARIA X BARRA DA TIJUCA (VIA.AV DAS AMERICAS);POOL: Tijuca - Tijuca
SV301;SV - RODOVIARIAXB.DA TIJUCA(V.HOSP.LOURENCO JORGE);Tijuca
302;RODOVIARIA X ALVORADA(VIA AV. LUCIO COSTA);POOL: Tijuca - Tijuca
303;RODOVIARIA X BARRA DA TIJUCA(V.L.AMARELA) CIRCULAR;Tijuca
306;PRACA SECA X CASTELO(VIA AV. MENEZES CORTES);POOL: Redentor - Redentor
SP306;SP-PCA SECA X CANDELARIA(V. AV. MENEZES CORTES)CIR;Redentor
309;ALVORADA X CENTRAL(VIA AV.LÚCIO COSTA/BOTAFOGO/PRAIA DO FLAMENGO);Real
SV309;SV - ALVORADA X CENTRAL (VIA AV. LÚCIO COSTA/BOTAFOGO/LARGO DO MACHADO);Real
310;ENGENHO DA RAINHA X CANDELÁRIA;Estrela Azul
311;ENGENHEIRO LEAL X CANDELÁRIA (V. CAVALCANTI);Estrela Azul
SP311;SP - DEL CASTILHO X CANDELÁRIA;Estrela Azul
312;OLARIA X CANDELARIA (VIA SAO CRISTOVAO) CIRCULAR;Lourdes
SP312;SP - RAMOS X CANDELARIA (VIA SAO CRISTOVAO) CIRC.;Lourdes
313;PENHA(GROTAO) X PCA TIRADENTES (V.V CRUZEIRO)CIRC.;Lourdes
315;CENTRAL X RECREIO DOS BANDEIRANTES(VIA L. AMARELA);POOL: Transportes Santa Maria Ltda. - Caprichosa - Litoral Rio - Redentor - Real - Tijuca - Três Amigos
320;PARQUE UNIAO X CANDELÁRIA;Paranapuan
321;BANCARIOS X CASTELO (VIA LINHA VERMELHA) CIRCULAR;POOL: Ideal - Ideal
322;RIBEIRA X CANDELÁRIA(VIA COCOTA);Paranapuan
SV322;SV - RIBEIRA X CANDELÁRIA(V.CID.UNIVERSITÁRIA));Paranapuan
SP322;SP - PORTUGUESA X CANDELÁRIA;Paranapuan
323;BANANAL X CASTELO (V.CACUIA/L.VERMELHA)CIRCULAR;POOL: Paranapuan - Paranapuan - Paranapuan
324;RIBEIRA X CANDELÁRIA;Ideal
SVB324;SVB - RIBEIRA X CANDELÁRIA (VIA AIRJ);Ideal
SVA324;SVA - RIBEIRA X CANDELÁRIA (VIA CID.UNIVERSITÁRIA));Ideal
325;RIBEIRA X CASTELO(VIA LINHA VERMELHA)CIRCULAR;Ideal
326;BANCARIOS X CANDELÁRIA;Ideal
SVA326;SVA - BANCARIOS X CANDELÁRIA (VIA AIRJ);Ideal
SVB326;SVB - BANCARIOS X CANDELÁRIA(V. C. UNIVERSITARIA);Ideal
SP326;SP - PORTUGUESA X CANDELARIA;Ideal
327;RIBEIRA X CASTELO (VIA LINHA VERMELHA) CIRCULAR;Paranapuan
328;BANANAL X CANDELÁRIA;POOL: Paranapuan - Paranapuan - Paranapuan
SV328;SV - BANANAL X CANDELÁRIA (VIA CIDADE UNIVERSITARIA);Paranapuan
329;BANCARIOS X CANDELÁRIA (VIA PRAIA DA ROSA);Ideal
330;PQUE.UNIÃO X CANDELÁRIA;Ideal
331;PRACA SECA X CASTELO(VIA LINHA AMARELA);POOL: Redentor - Redentor
334;CORDOVIL X INTO (V.PCA DAS NACOES) CIRCULAR;Gire
SP334;SP - BRAS DE PINA X INTO;Gire
335;CORDOVIL X TIRADENTES(RAPIDO) CIRCULAR;Gire
SR335;SR - CORDOVIL X P. TIRADENTES(V.BRAS PINA)RAP.CIRC;Gire
SV335;SV - BRAS DE PINA X PRAÇA TIRADENTES (RAPIDO)CIRCULAR;Gire
338;TAQUARA X CANDELÁRIA(VIA LINHA AMARELA);Barra
339;RODOVIARIA X CIDADE DE DEUS (VIA LINHA AMARELA);Redentor
341;TAQUARA X CANDELÁRIA;POOL: Barra - Barra
SP341;SP - FREGUESIA X CANDELÁRIA;Barra
342;JARDIM AMERICA X CASTELO;POOL: Pavunense - Pavunense
SR342;SR - JARDIM AMERICA X CASTELO (RAPIDO);Pavunense
SV342;SV - JARDIM AMERICA X CASTELO(V. PARADA DE LUCAS);Pavunense
343;JARDIM OCEÂNICO X CANDELÁRIA (VIA LINHA AMARELA);POOL: Futuro - Futuro
SP343;SP - RIO DAS PEDRAS X CANDELARIA;Futuro
344;ROCHA MIRANDA X CASTELO (CIRCULAR);Madureira Candelária
345;JARDIM OCEÂNICO X CANDELÁRIA (VIA ALTO DA BOA VISTA);Tijuca
346;MADUREIRA X CANDELARIA;Futuro
348;RIOCENTRO X CANDELÁRIA (V.L. AMARELA) CIRC.;POOL: Redentor - Redentor - Redentor
349;ROCHA MIRANDA X CASTELO (CIRCULAR);Madureira Candelária
SR349;SR - ROCHA MIRANDA X CASTELO (RAPIDO-CIRCULAR);Madureira Candelária
SPA349;SPA - PARQUE JARDIM VISTA ALEGRE X CASTELO(CIRCULAR);Madureira Candelária
SPB349;SPB - PRACA HONORIO GURGEL X CASTELO(CIRCULAR);Madureira Candelária
350;IRAJA X PASSEIO;Rubanil
SR350;SR - IRAJA X PASSEIO (RAPIDO);Rubanil
SPA350;SPA- IRAJA X PASSEIO (RAPIDO);Rubanil
SPB350;SPB- IRAJA X CANDELARIA(CIRCULAR);Rubanil
351;IRAJA X CANDELÁRIA (RAPIDO);Rubanil
352;RIO CENTRO X CANDELÁRIA(VIA AUTODROMO/L.AMARELA);POOL: Redentor - Redentor
SP352;SP-RIO CENTROX INTO(V.ABELARDO BUENO/L.AMARELA)CIR;Redentor
353;PÇA. SECA X RODOVIARIA;Redentor
355;MADUREIRA X PRACA TIRADENTES (CIRCULAR);Madureira Candelária
SR355;SR - MADUREIRA X PRACA TIRADENTES(CIRCULAR);Madureira Candelária
SPA355;SPA - VAZ LOBO X PRACA TIRADENTES(CIRCULAR);Madureira Candelária
SPB355;SPB - VICENTE DE CARVALHO X PRACA TIRADENTES(CIRCULAR);Madureira Candelária
SPC355;SPC - VILA KOSMOS X PRACA TIRADENTES(CIRCULAR);Madureira Candelária
SPD355;SPD - VILA KOSMOS X PRACA TIRADENTES(V.AV.MERITI)CIRCULAR;Madureira Candelária
358;COSMOS X CANDELARIA;Consórcio Santa Cruz
361;RECREIO DOS BANDEIRANTES X CASTELO(VIA L.AMARELA);POOL: Redentor - Redentor
362;HONORIO GURGEL X CASTELO - CIRC.;POOL: Vila Real - Vila Real - Vila Real
SR362;SR - HONORIO GURGEL X CASTELO (RAPIDO) CIRCULAR;Vila Real
SPA362;SPA - BAIRRO UNIAO X CASTELO (CIRCULAR);Vila Real
SPB362;SPB - COELHO NETO X CASTELO (CIRCULAR);Vila Real
SPC362;SPC - VILA SANTA TEREZA X CASTELO (CIRCULAR);Vila Real
363;VILA VALQUEIRE X CANDELÁRIA;Estrela
SV363;SV - VILA VALQUEIRE X CANDELÁRIA (VIA DIAS DA CRUZ);Estrela
364;JARDIM BANGU X TIRADENTES;Barra
365;MENDANHA X TIRADENTES (EXPRESSO);Barra
366;CAMPO GRANDE - TIRADENTES;Pégaso
SP366;SP - CAMPO GRANDE X CAJU;Pégaso
367;REALENGO X CAMERINO (VIA AVENIDA BRASIL-EXPRESSO);Barra
SV367;SV - REALENGO X CAMERINO (VIA AV. BRASIL- PARADOR);Barra
368;RIOCENTRO X CANDELÁRIA;POOL: Redentor - Redentor - Redentor
369;BANGU X CANDELARIA;POOL: Campo Grande - Campo Grande
370;PADRE MIGUEL X CANDELARIA;Campo Grande
371;PRACA SECA X PRACA TIRADENTES (CIRCULAR);Novacap
372;PAVUNA X PASSEIO (RAPIDO);América
373;PAVUNA X PASSEIO (CIRCULAR);América
374;PAVUNA X CASTELO (VIA COSTA BARROS) CIRCULAR;América
375;RICARDO DE ALBUQUERQUE X CARIOCA;Consórcio Internorte
376;PAVUNA X CANDELÁRIA (VIA RUA MERCURIO);América
SV376;SV - PAVUNA X CANDELÁRIA (VIA PARQUE COLUMBIA);América
377;PAVUNA X CASTELO(VIA COSTA BARROS) CIRCULAR;América
378;MARECHAL HERMES X CASTELO - CIRC.;POOL: Vila Real - Vila Real
SR378;SR - MARECHAL HERMES X CASTELO (RAPIDO) CIRCULAR;POOL: Vila Real - Vila Real
SP378;SP - GUADALUPE X CASTELO (CIRCULAR);Vila Real
379;CATIRI X TIRADENTES (SELETIVA);POOL: Barra - Barra
SV379;SV - CATIRI X TIRADENTES (VIA AV.BRASIL);Barra
380;CURICICAXCANDELARIA(V.L.AMARELA/ESTR.DO PAU FERRO);Litoral Rio
SV380;SV - CURICICA X CANDELARIA(VIA L.AMARELA);Litoral Rio
381;ANCHIETA X CIDADE UNIVERSITARIA (CIRCULAR);Consórcio Internorte
383;REALENGO X PÇA. DA REPUBLICA(VIA SULACAP);POOL: Barra - Barra - Barra
SP383;SP - JARDIM NOVO (REALENGO) X PRACA DA REPUBLICA;Barra
384;PAVUNA X PASSEIO;Pavunense
SPA384;SPA - GUADALUPE X PASSEIO;Pavunense
SPB384;SPB - LARGO DO CAMBOATA X PASSEIO;Pavunense
SPC384;SPC - PAVUNA X CANDELARIA(CIRCULAR);Pavunense
385;VILLAGE PAVUNA X PASSEIO (VIA CAMBOATA);Pavunense
SR385;SR - VILLAGE PAVUNA X PASSEIO (RAPIDO);Pavunense
SV385;SV - VILLAGE PAVUNA X PASSEIO(VIA AV.PRES.VARGAS);Pavunense
386;ANCHIETA X PASSEIO (VIA MARIOPOLIS);Pavunense
SP386;SP - PARQUE ANCHIETA X PASSEIO;Pavunense
388;SANTA CRUZ X CANDELARIA(V.AV. BRASIL - EXPRESSO);POOL: Consórcio Santa Cruz - Consórcio Santa Cruz
389;VILA ALIANÇA X CANDELARIA(VIA SENADOR CAMARA-EXPRESSO);Barra
SV389;SV - VILA ALIANCA X CANDELARIA(V.S.CAMARA-PARADOR);Barra
390;CURICICA X CANDELARIA(VIA GUERENGUE);Litoral Rio
SV390;SV - CURICICA X CANDELARIA(VIA ESTR.DO PAU FERRO);Litoral Rio
391;PADRE MIGUEL X PRACA TIRADENTES;Barra
392;BANGU X CANDELARIA(V.PADRE MIGUEL);Campo Grande
SN392;SN - BANGU X CANDELARIA(V.PADRE MIGUEL);Campo Grande
393;BANGU X CANDELÁRIA;Campo Grande
SR393;SR - BANGU X CANDELÁRIA (SELETIVA);Campo Grande
SN393;SN - BANGU X CANDELÁRIA;Campo Grande
SP393;SP - BANGU X CAJU;Campo Grande
394;V. KENNEDY X TIRADENTES -EXPRESSO;POOL: Barra - Barra
SV394;SV - VILA KENNEDY X TIRADENTES (PARADOR);POOL: Barra - Barra
395;COQUEIROS X TIRADENTES (EXPRESSO);POOL: Barra - Barra
SV395;SV - COQUEIROS X TIRADENTES (PARADOR);Barra
396;BAIRRO JABOUR X CANDELARIA(V.AV. BRASIL);Campo Grande
