Linha;Vista;Empresa
SV774;SV-MADUREIRAXJ.AMERICA(V.SHOPPING VIA BRASIL)CIRC.;POOL: Caprichosa - Caprichosa
775;JARDIM AMERICA X MADUREIRA (CIRCULAR);POOL: Caprichosa - Caprichosa
777;PADRE MIGUEL X MADUREIRA;POOL: Barra - Barra - Barra
SV777;SV - PADRE MIGUEL X MADUREIRA (VIA RUA DO GOVERNO);POOL: Barra - Barra
SN777;SN - PADRE MIGUEL X MADUREIRA;Barra
778;CASCADURA X PAVUNA (V. ESTR.DE BOTAFOGO)CIRCULAR;POOL: Vila Real - Vila Real
779;PAVUNA X MADUREIRA (VIA RUA JOAO VICENTE);POOL: Pavunense - Pavunense - Pavunense
SV779;SV - PAVUNA X MADUREIRA (VIA RUA MARINA);POOL: Pavunense - Pavunense
781;CASCADURA X MARECHAL HERMES (VIA PRACA SECA)CIRC;POOL: Três Amigos - Três Amigos - Três Amigos
782;CASCADURA X MARECHAL HERMES(V. ROCHA MIRANDA)CIRC.;POOL: Três Amigos - Três Amigos - Três Amigos
783;MARECHAL HERMES X PRACA SECA(CIRCULAR);POOL: Três Amigos - Três Amigos
784;VILA KENNEDY X MARECHAL HERMES;Barra
786;CAMPO GRANDE X MARECHAL HERMES;POOL: Campo Grande - Campo Grande
SN786;SN - CAMPO GRANDE X MARECHAL HERMES;Campo Grande
789;CAMPO GRANDE X CASCADURA;Campo Grande
SN789;SN - CAMPO GRANDE X CASCADURA;Campo Grande
790;CAMPO GRANDE X CASCADURA;POOL: Pégaso - Barra
SV790;SV - CAMPO GRANDE X CASCADURA (VIA VILA ALIANCA);POOL: Pégaso - Barra
793;PAVUNA X MAGALHAES BASTOS;POOL: Pavunense - Pavunense
794;CASCADURA X BANGU (VIA BARATA);POOL: Barra - Barra - Barra
795;PAVUNA X MAGALHAES BASTOS (VIA MARIOPOLIS);POOL: Pavunense - Pavunense - Pavunense
800;TAQUARA X CURICICA (VIA GUERENGUE) CIRCULAR;Transportes Santa Maria Ltda.
801;BANGU X TAQUARA;POOL: Barra - Barra
802;BANGU X CAMPO GRANDE (VIA RIO DA PRATA);Jabour
803;SENADOR CAMARA X TAQUARA(VIA CATONHO);Barra
SN803;SN - SENADOR CAMARA X ALVORADA;Barra
SP803;SP - SENADOR CAMARA X MERCK;Barra
804;LARGO DO AARAO X CAMPO GRANDE (VIA FELIPE CARDOSO);POOL: Pégaso - Pégaso - Pégaso
805;ALVORADA X JARDIM OCEÂNICO;Tijuca
806;BOIUNA X TAQUARA (VIA RIO GRANDE);Transportes Santa Maria Ltda.
807;JESUITAS X SANTA CRUZ (CIRCULAR);Palmares
808;COLONIA X RECREIO (VIA CURICICA)CIRCULAR;Transportes Santa Maria Ltda.
810;PONTAL X TAQUARA;POOL: Transportes Santa Maria Ltda. - Redentor
811;BANGU X PRESIDIO;Barra
812;CAROBINHA X BANGU;Barra
813;MANGUARIBA X SANTA CRUZ (CIRCULAR);Palmares
814;RIO DA PRATA X BANGU (CIRCULAR);Jabour
815;BOIUNA X TAQUARA;POOL: Translitoral Transporte Ltda. - Transportes Santa Maria Ltda.
816;CAPELA X TAQUARA;Litoral Rio
817;VARGEM GRANDE X RECREIO (VIA ALCEU DE CARVALHO/AV. GLÁUCIO GIL) CIRCULAR;Litoral Rio
819;JARDIM BANGU X BANGU;POOL: Campo Grande - Campo Grande
820;RECREIO SHOPPINGXEST.GLAUCIO GIL(V.ESTR.PONTAL)CIR;Translitoral Transporte Ltda.
821;CORCUNDINHA X CAMPO GRANDE(VIA CAPOEIRAS)CIRCULAR;Palmares
822;CORCUNDINHA X CAMPO GRANDE(VIA VILA NOVA)CIRCULAR;Palmares
823;V.GRANDE x RECREIO (VIA ESTRADA DO PONTAL) - CIRCULAR;Litoral Rio
SN823;SN - VARGEM GRANDE X RECREIO (VIA ESTRADA DO PONTAL) CIRCULAR;Litoral Rio
824;SANTA MARIA(VILA NOVA) X CAMPO GRANDE (CIRCULAR);Pégaso
825;CAMPO GRANDE X JESUITAS (VIA SANTA CRUZ -CIRCULAR);Palmares
826;CAROBINHA X C. GRANDE(V.ESTR. DO LAMEIRAO)CIRCULAR;POOL: Pégaso - Barra - Campo Grande - Jabour
827;V.GRANDE X RECREIO(AV.BENVINDO NOVAES/AV.G.GIL)CIR;Litoral Rio
SN827;SN - VARGEM GRANDE X RECREIO (VIA AV. BENVINDO DE NOVAES/ AV. GLÁUCIO GIL) CIRCULAR;Litoral Rio
828;SAO JORGE X CAMPO GRANDE(CIRCULAR);Pégaso
829;GARDENIA AZUL X FREGUESIA(CIRCULAR);Redentor
830;PEDREGOSO X CAMPO GRANDE (CIRCULAR);Pégaso
831;COLONIA X TAQUARA;Transportes Santa Maria Ltda.
832;COLONIA X HOSP. SARAH(VIA CURICICA)CIRCULAR;Transportes Santa Maria Ltda.
SE832;SE - RIO CENTRO X ALVORADA (CIRCULAR);Transportes Santa Maria Ltda.
833;CONJUNTO MANGUARIBA X CAMPO GRANDE;Palmares
834;LARGO DO CORREIA X CAMPO GRANDE (V.ESTR.MONTEIRO);Jabour
835;LARGO DO CORREIA X CAMPO GRANDE (VIA CACHAMORRA);POOL: Jabour - Jabour
836;CABOCLOS X CAMPO GRANDE (CIRCULAR);Jabour
837;CONJUNTO DA MARINHA X CAMPO GRANDE;Jabour
838;JARDIM MARAVILHA X CAMPO GRANDE;POOL: Jabour - Jabour - Jabour
SN838;SN - JARDIM MARAVILHA X CAMPO GRANDE;Jabour
SP838;SP - JARDIM MARAVILHA X MAGARCA;Jabour
839;CESARAO X CAMPO GRANDE (VIA URUCANIA) CIRCULAR;Palmares
SN839;SN - CESARAO X CAMPO GRANDE(VIA URUCANIA) CIRCULAR;Palmares
840;SAO FERNANDO X CAMPO GRANDE (VIA AV JOAO XXIII);Palmares
SN840;SN - SAO FERNANDO X CAMPO GRANDE(VIA AV.JOAO XXIII;Palmares
841;VILAR CARIOCA X CAMPO GRANDE;Palmares
SN841;SN - VILAR CARIOCA X CAMPO GRANDE;Palmares
SP841;SP - SALIM X CAMPO GRANDE (CIRCULAR);Palmares
842;PACIENCIA X CAMPO GRANDE (VIA SANTA MARGARIDA);Palmares
843;BOA ESPERANCA X CAMPO GRANDE (CIRCULAR);Jabour
SV843;SV - BOA ESPERANCA X CAMPO GRANDE(V.E.CACHAMORRA);Jabour
844;BARRA SHOPPING X BARRINHA(CIRCULAR);Redentor
845;CANTAGALO X CAMPO GRANDE (CIRCULAR);Jabour
846;RIO DA PRATA X CAMPO GRANDE (VIA CABUCU);Campo Grande
SN846;SN - RIO DA PRATA X CAMPO GRANDE (VIA CABUCU);Campo Grande
847;RIO DA PRATA X CAMPO GRANDE (VIA LAMEIRAO);Campo Grande
848;BAIRRO MONTE SANTO X CAMPO GRANDE (CIRCULAR);Campo Grande
849;BASE AEREA DE SANTA CRUZ X CAMPO GRANDE;Palmares
850;MENDANHA X CAMPO GRANDE;POOL: Pégaso - Pégaso
SN850;SN - MENDANHA X CAMPO GRANDE;Pégaso
