"route_id","agency_id","route_short_name","route_long_name","route_desc","route_type","route_url","route_color","route_text_color"
"12860063","148","777","Padre Miguel - Madureira","777-PADRE MIGUEL - MADUREIRA","3","http://www.vadeonibus.com.br/vdo/?telaAtiva=site&exibeRota=12860063&utm_medium=GTFSfeed&utm_source=GoogleTransit&utm_campaign=route_URL","D62828",
"12867264","148","783","Marechal Hermes - Praça Seca (Circular)","783-MARECHAL HERMES - PRACA SECA (CIRCULAR)","3","http://www.vadeonibus.com.br/vdo/?telaAtiva=site&exibeRota=12867264&utm_medium=GTFSfeed&utm_source=GoogleTransit&utm_campaign=route_URL","607C8C",
"12865900","148","739","Sulacap - Bangu (Circular)","739-SULACAP - BANGU (CIRCULAR)","3","http://www.vadeonibus.com.br/vdo/?telaAtiva=site&exibeRota=12865900&utm_medium=GTFSfeed&utm_source=GoogleTransit&utm_campaign=route_URL","D62828",
"12866669","148","391","Padre Miguel - Praça Tiradentes","391-PADRE MIGUEL - PRACA TIRADENTES","3","http://www.vadeonibus.com.br/vdo/?telaAtiva=site&exibeRota=12866669&utm_medium=GTFSfeed&utm_source=GoogleTransit&utm_campaign=route_URL","D62828",
"12864906","148","368","Rio Centro - Castelo","368-RIO CENTRO - CASTELO","3","http://www.vadeonibus.com.br/vdo/?telaAtiva=site&exibeRota=12864906&utm_medium=GTFSfeed&utm_source=GoogleTransit&utm_campaign=route_URL","607C8C",
"12866585","148","111","Central - Jardim de Alah (via Elevado/Túnel Rebouças) (Circular)","111-CENTRAL - JARDIM DE ALAH (VIA ELEVADO/TÚNEL REBOUÇAS) (CIRCULAR)","3","http://www.vadeonibus.com.br/vdo/?telaAtiva=site&exibeRota=12866585&utm_medium=GTFSfeed&utm_source=GoogleTransit&utm_campaign=route_URL","D8B511",
"12863172","148","623","Penha - Saens Peña (via Túnel Noel Rosa) (Circular)","623-PENHA - SAENS PENA (VIA TUNEL NOEL ROSA) (CIRCULAR)","3","http://www.vadeonibus.com.br/vdo/?telaAtiva=site&exibeRota=12863172&utm_medium=GTFSfeed&utm_source=GoogleTransit&utm_campaign=route_URL","BAD80A",
"12864075","148","183","Laranjeiras - Central (via Túnel Santa Bárbara)","183-LARANJEIRAS - CENTRAL (VIA TUNEL SANTA BARBARA)","3","http://www.vadeonibus.com.br/vdo/?telaAtiva=site&exibeRota=12864075&utm_medium=GTFSfeed&utm_source=GoogleTransit&utm_campaign=route_URL","D8B511",
"12860304","148","2342","Bananal - Castelo (via Linha Vermelha)","2342-BANANAL - CASTELO (VIA LINHA VERMELHA)","3","http://www.vadeonibus.com.br/vdo/?telaAtiva=site&exibeRota=12860304&utm_medium=GTFSfeed&utm_source=GoogleTransit&utm_campaign=route_URL","BAD80A",
"12867928","148","914","Vigário Geral - Bananal","914-VIGARIO GERAL - BANANAL","3","http://www.vadeonibus.com.br/vdo/?telaAtiva=site&exibeRota=12867928&utm_medium=GTFSfeed&utm_source=GoogleTransit&utm_campaign=route_URL","BAD80A",
